lh_or_rh,height,pitchtype,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,185.0,0.0,0.500,0.000,1.000,0.417,1.0,0.143,0.000,0.400,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.167,0.2,0.000,0.000,0.000,0.38766666666666666,0.5,0.500,1.000,1.000
1,185.0,1.0,0.667,0.211,0.545,1.000,1.000,0.250,0.231,0.278,0.273,0.500,0.429,0.167,0.200,0.636,0.800,0.250,0.000,0.333,0.500,0.000,0.38766666666666666,0.800,0.200,0.333,1.000
1,185.0,2.0,1.000,0.000,0.455,0.000,1.0,0.000,0.205,0.282,0.19,0.667,0.333,0.276,0.500,0.438,0.417,0.167,0.667,0.000,0.381,0.2,0.38766666666666666,0.5,0.308,0.500,1.0
1,185.0,3.0,0.333,0.000,0.455,0.000,1.0,0.333,0.333,0.200,0.000,0.667,0.500,1.000,0.500,0.000,0.000,0.000,0.2,0.000,0.333,1.000,0.38766666666666666,0.5,0.308,1.000,1.0
1,185.0,4.0,0.167,0.333,0.500,0.333,1.0,0.000,0.182,0.333,0.000,1.000,0.000,0.182,0.500,0.000,0.500,0.000,0.000,0.400,0.333,0.2,0.38766666666666666,0.000,0.308,0.5,1.000
1,185.0,5.0,0.500,0.500,0.000,1.000,1.0,0.200,0.182,0.000,0.500,0.667,0.000,0.500,0.000,0.438,0.000,0.167,0.500,1.000,0.381,0.2,0.38766666666666666,0.5,1.000,0.5,1.000
1,185.0,6.0,1.000,0.000,0.000,0.417,1.000,0.000,0.200,0.282,0.000,0.667,1.000,0.276,0.400,0.438,0.000,0.167,0.2,0.304,0.000,0.2,0.38766666666666666,0.5,0.308,0.5,1.000
1,185.0,0.0,0.421,0.136,0.235,0.273,0.75,0.500,0.3,0.000,1.000,0.75,0.263,0.667,1.000,0.200,1.000,0.500,0.000,0.000,0.000,1.000,0.5,1.000,1.000,0.429,0.75
1,185.0,1.0,0.750,0.000,0.500,1.000,1.000,0.500,0.333,0.267,0.250,1.000,0.375,0.333,0.364,0.250,0.400,0.000,0.357,0.267,0.538,0.500,0.5,0.429,0.143,0.500,0.833
1,185.0,2.0,0.421,0.136,0.235,0.273,0.75,0.393,0.3,0.275,0.421,0.75,0.263,0.45,0.000,1.000,0.45,0.235,0.25,0.226,0.000,0.500,0.5,1.000,0.25,0.429,0.000
1,185.0,3.0,0.500,0.000,0.000,0.000,0.75,0.500,0.750,0.167,1.000,0.75,0.143,0.167,0.000,0.500,0.000,0.500,0.000,0.000,1.000,0.5,0.5,0.556,1.000,0.429,0.75
1,185.0,4.0,0.273,0.222,0.182,0.000,1.000,0.375,0.250,0.500,0.500,0.000,0.313,0.545,0.455,0.333,0.500,0.000,0.000,0.200,0.000,0.000,0.5,0.556,0.000,0.333,1.000
1,185.0,5.0,1.000,0.333,0.100,0.000,0.75,0.000,0.000,0.167,0.000,0.000,0.167,0.750,0.286,0.250,0.500,0.235,0.333,0.333,0.409,0.000,0.500,0.556,0.25,0.429,0.75
1,185.0,6.0,0.000,0.000,1.000,0.000,0.500,0.500,0.000,0.333,0.500,0.75,0.000,0.667,0.000,0.500,0.000,0.235,0.000,0.226,0.000,0.5,0.5,0.556,0.25,0.429,0.75
1,185.0,0.0,0.500,0.174,0.500,1.000,0.5,0.000,0.000,0.000,0.600,0.500,0.367,0.000,0.667,0.000,0.000,0.545,0.000,0.500,1.000,1.000,0.2,0.429,0.000,0.000,1.000
1,185.0,1.0,1.000,0.600,0.333,0.000,0.5,0.429,0.400,0.500,0.182,0.333,0.375,0.563,0.214,0.313,1.000,0.571,0.333,0.273,0.167,0.667,0.250,0.250,0.200,0.400,0.833
1,185.0,3.0,0.500,0.000,0.000,0.000,0.5,0.800,0.333,0.333,0.000,0.333,0.250,0.333,0.412,0.208,1.000,0.500,0.750,0.500,0.000,0.000,0.2,0.429,0.125,1.000,0.9
1,185.0,4.0,0.154,0.000,0.400,0.400,0.5,0.231,0.214,0.333,0.000,0.333,0.364,0.286,0.286,0.000,0.750,0.750,0.200,0.250,0.000,1.000,0.000,1.000,0.000,1.000,1.000
1,185.0,5.0,0.000,0.250,0.200,0.667,0.500,0.000,0.300,0.667,0.000,0.333,0.750,0.000,0.800,0.000,0.000,0.667,0.000,0.000,0.211,0.75,0.2,0.429,0.125,0.5,0.9
1,185.0,6.0,1.000,0.000,0.333,0.417,0.5,0.000,0.333,0.333,0.217,0.000,0.000,0.500,0.600,0.000,0.556,0.000,0.32,1.000,1.000,0.75,0.2,0.500,0.125,0.5,0.9
1,185.0,0.0,0.563,0.393,0.500,1.000,0.8,0.500,0.500,0.000,0.214,0.500,0.000,0.200,0.000,0.083,0.667,1.000,0.500,0.667,0.444,0.667,0.5,1.000,0.333,0.667,1.000
1,185.0,1.0,1.000,1.000,0.600,0.750,1.000,0.500,0.429,0.583,0.250,0.200,0.444,0.714,0.500,0.318,0.615,0.444,0.286,0.500,0.231,0.600,0.500,0.750,0.100,0.000,1.000
1,185.0,2.0,0.000,0.393,0.35,0.538,0.8,0.000,0.000,0.000,0.263,0.417,0.000,0.500,0.371,0.19,0.647,0.000,0.500,0.4,0.387,0.6,0.5,0.889,0.000,0.625,1.0
1,185.0,3.0,0.500,0.333,0.000,0.000,0.500,0.000,0.250,0.167,0.250,0.417,0.500,0.375,0.000,0.000,0.647,1.000,0.25,0.167,0.500,0.6,0.5,0.889,0.222,1.000,1.000
1,185.0,4.0,0.667,0.375,0.333,0.333,1.000,0.000,0.250,0.182,0.667,0.417,0.455,0.600,0.400,0.000,0.647,0.000,0.000,0.000,1.000,0.000,0.5,1.000,0.000,1.000,1.000
1,185.0,5.0,0.563,0.167,0.333,0.000,0.8,0.000,0.000,0.000,0.000,1.000,0.500,0.400,0.400,0.000,0.647,0.5,0.25,1.000,1.000,1.000,0.5,1.000,0.222,0.625,1.000
1,185.0,6.0,0.250,0.400,0.000,1.000,0.8,1.000,0.500,0.500,0.000,0.000,0.41,0.333,0.333,0.000,1.000,0.5,0.25,0.4,0.500,0.6,0.5,1.000,1.000,1.000,1.000
1,185.0,0.0,0.286,0.28,0.136,0.000,0.909,0.321,0.45,0.42,1.000,1.000,0.409,0.419,0.167,0.000,0.400,0.500,1.000,0.667,0.500,0.500,0.0,0.4,0.4,0.333,1.000
1,185.0,1.0,1.000,0.500,0.000,0.800,1.000,0.250,0.533,0.368,0.438,1.000,0.500,0.500,0.500,0.381,0.333,0.333,0.200,0.750,0.300,0.727,0.000,0.500,0.333,0.250,1.000
1,185.0,2.0,0.286,0.000,1.000,0.000,0.909,0.000,1.000,0.000,0.500,1.0,1.000,0.419,1.000,1.000,0.429,0.000,0.000,0.556,0.308,0.706,0.0,0.4,0.4,0.333,1.0
1,185.0,3.0,0.167,0.000,0.250,0.667,1.000,0.667,0.400,0.600,0.000,1.0,0.500,0.500,0.333,1.000,0.500,0.500,0.000,0.250,0.308,0.706,0.0,0.000,0.000,0.333,1.000
1,185.0,4.0,0.250,0.571,0.000,0.000,1.000,0.444,0.417,0.385,0.250,1.000,0.286,0.333,0.400,0.200,0.000,0.333,0.333,0.000,0.000,0.667,0.0,0.000,0.333,0.333,1.0
1,185.0,5.0,0.000,0.000,0.000,0.429,1.000,0.333,0.500,1.000,0.000,1.0,0.500,0.167,0.000,0.750,1.000,1.000,1.000,1.000,0.308,0.706,0.0,0.000,0.4,1.000,1.000
1,185.0,6.0,0.000,0.500,0.250,0.429,0.000,0.000,0.000,1.000,0.500,1.000,0.000,0.419,0.333,0.500,0.000,0.000,1.000,0.500,0.308,1.000,0.0,1.000,1.000,0.333,1.0
1,185.0,0.0,0.433,0.3,0.35,0.000,0.833,0.406,0.32,0.481,0.000,1.000,0.429,0.472,0.526,0.667,1.000,0.462,0.406,1.000,0.200,0.000,1.0,0.625,0.429,0.000,0.714
1,185.0,1.0,1.000,0.875,0.667,0.250,1.000,0.636,0.471,0.379,0.345,0.667,0.500,0.600,0.636,0.441,1.000,0.500,0.444,0.500,0.389,0.750,1.000,0.571,0.400,0.600,0.667
1,185.0,2.0,0.000,0.000,0.35,0.083,0.833,0.000,0.333,1.000,0.296,0.6,0.429,0.500,0.526,0.472,0.833,0.462,0.000,0.436,0.276,0.000,1.000,0.625,0.429,0.556,0.714
